Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player-additional,Year
87,Al Harrington,PF,33,WAS,7,0,59,6,15,0.4,0,7,0.0,6,8,0.75,0.4,5,7,0.714,1,15,16,0,3,0,4,14,17,harrial01,2013
88,Devin Harris,PG,30,DAL,7,0,176,31,66,0.47,11,25,0.44,20,41,0.488,0.553,7,8,0.875,1,16,17,27,2,2,11,13,80,harride01,2013
89,Udonis Haslem,PF,33,MIA,16,6,169,17,37,0.459,0,0,,17,37,0.459,0.459,6,10,0.6,12,29,41,4,1,3,1,28,40,hasleud01,2013
90,Chuck Hayes,C,30,TOR,5,0,38,2,8,0.25,0,0,,2,8,0.25,0.25,2,2,1.0,4,4,8,2,3,0,1,5,6,hayesch01,2013
91,Gerald Henderson,SG,26,CHA,4,4,119,14,37,0.378,0,9,0.0,14,28,0.5,0.378,11,17,0.647,1,15,16,9,4,1,6,12,39,hendege02,2013
92,Roy Hibbert,C,27,IND,19,19,542,66,147,0.449,0,1,0.0,66,146,0.452,0.449,44,57,0.772,44,61,105,17,4,26,25,62,176,hibbero01,2013
93,Nenê,PF,31,WAS,10,10,325,64,138,0.464,0,0,,64,138,0.464,0.464,9,26,0.346,8,45,53,26,9,11,17,36,137,hilarne01,2013
94,George Hill,PG,27,IND,19,19,687,79,178,0.444,28,77,0.364,51,101,0.505,0.522,44,61,0.721,13,58,71,57,23,4,28,43,230,hillge01,2013
95,Solomon Hill,SF,22,IND,1,0,1,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,hillso01,2013
96,Kirk Hinrich,PG,33,CHI,5,5,167,23,56,0.411,7,19,0.368,16,37,0.432,0.473,2,4,0.5,1,14,15,22,4,1,11,22,55,hinriki01,2013
97,Ryan Hollins,PF,29,LAC,5,0,9,1,4,0.25,0,0,,1,4,0.25,0.25,1,1,1.0,1,2,3,0,0,0,1,3,3,holliry01,2013
98,Dwight Howard,C,28,HOU,6,6,231,58,106,0.547,0,0,,58,106,0.547,0.547,40,64,0.625,27,55,82,11,4,17,19,25,156,howardw01,2013
99,Serge Ibaka,PF,24,OKC,17,17,581,87,147,0.592,5,13,0.385,82,134,0.612,0.609,26,34,0.765,31,85,116,12,11,42,20,54,205,ibakase01,2013
100,Andre Iguodala,SF,30,GSW,7,7,248,32,62,0.516,8,15,0.533,24,47,0.511,0.581,20,33,0.606,5,28,33,31,9,2,21,19,92,iguodan01,2013
101,Reggie Jackson,PG,23,OKC,19,4,531,75,161,0.466,21,53,0.396,54,108,0.5,0.531,39,44,0.886,13,59,72,46,5,4,38,49,210,jacksre01,2013
102,Bernard James,C,28,DAL,2,0,8,0,0,,0,0,,0,0,,,0,0,,1,0,1,0,1,0,0,0,0,jamesbe01,2013
103,LeBron James,PF,29,MIA,20,20,763,192,340,0.565,35,86,0.407,157,254,0.618,0.616,129,160,0.806,14,127,141,95,36,11,61,46,548,jamesle01,2013
104,Al Jefferson,C,29,CHA,3,3,106,26,53,0.491,0,0,,26,53,0.491,0.491,4,5,0.8,6,22,28,2,1,5,1,7,56,jeffeal01,2013
105,Amir Johnson,PF,26,TOR,7,7,191,34,52,0.654,0,2,0.0,34,50,0.68,0.654,9,12,0.75,16,26,42,7,3,4,12,29,77,johnsam01,2013
106,James Johnson,SF,26,MEM,3,0,28,5,15,0.333,2,5,0.4,3,10,0.3,0.4,7,10,0.7,4,2,6,0,1,0,0,3,19,johnsja01,2013
107,Joe Johnson,SG,32,BRK,12,12,469,98,184,0.533,22,53,0.415,76,131,0.58,0.592,36,43,0.837,9,37,46,35,6,3,19,20,254,johnsjo02,2013
108,James Jones,SF,33,MIA,15,0,126,18,40,0.45,15,32,0.469,3,8,0.375,0.638,2,3,0.667,3,8,11,5,3,2,0,17,53,jonesja02,2013
109,Perry Jones,PF,22,OKC,11,0,55,7,18,0.389,3,10,0.3,4,8,0.5,0.472,0,0,,3,6,9,1,0,1,1,9,17,jonespe01,2013
110,Terrence Jones,PF,22,HOU,6,2,138,20,39,0.513,0,1,0.0,20,38,0.526,0.513,6,12,0.5,17,20,37,8,5,3,2,13,46,joneste01,2013
111,DeAndre Jordan,C,25,LAC,13,13,442,46,63,0.73,0,0,,46,63,0.73,0.73,33,76,0.434,43,120,163,10,12,33,23,45,125,jordade01,2013
112,Cory Joseph,SG,22,SAS,17,0,87,17,35,0.486,0,3,0.0,17,32,0.531,0.486,14,18,0.778,1,8,9,9,3,0,4,7,48,josepco01,2013
113,Michael Kidd-Gilchrist,SF,20,CHA,4,4,91,14,27,0.519,0,1,0.0,14,26,0.538,0.519,6,10,0.6,8,18,26,6,0,2,8,13,34,kiddgmi01,2013
114,Andrei Kirilenko,PF,32,BRK,10,0,144,7,15,0.467,0,0,,7,15,0.467,0.467,11,17,0.647,10,13,23,10,10,3,3,11,25,kirilan01,2013
115,Kyle Korver,SG,32,ATL,7,7,250,30,66,0.455,23,54,0.426,7,12,0.583,0.629,11,12,0.917,2,35,37,5,4,2,11,15,94,korveky01,2013
116,Kosta Koufos,C,24,MEM,7,0,45,7,16,0.438,0,0,,7,16,0.438,0.438,4,4,1.0,7,8,15,2,2,3,3,7,18,koufoko01,2013
117,Ognjen Kuzmi?,C,23,GSW,3,0,8,0,0,,0,0,,0,0,,,0,0,,1,3,4,0,0,0,0,2,0,kuzmiog01,2013
118,Jeremy Lamb,SG,21,OKC,11,0,100,17,42,0.405,2,14,0.143,15,28,0.536,0.429,4,4,1.0,4,12,16,7,7,1,3,8,40,lambje01,2013
119,Shane Larkin,PG,21,DAL,2,0,10,0,3,0.0,0,1,0.0,0,2,0.0,0.0,0,0,,0,1,1,2,0,0,1,0,0,larkish01,2013
120,Courtney Lee,SG,28,MEM,7,7,224,25,60,0.417,6,19,0.316,19,41,0.463,0.467,14,18,0.778,3,11,14,11,5,2,6,20,70,leeco01,2013
121,David Lee,PF,30,GSW,7,7,217,41,77,0.532,0,0,,41,77,0.532,0.532,15,19,0.789,24,40,64,18,4,0,17,28,97,leeda02,2013
122,Kawhi Leonard,SF,22,SAS,23,23,736,122,239,0.51,31,74,0.419,91,165,0.552,0.575,53,72,0.736,31,124,155,38,39,14,29,66,328,leonaka01,2013
123,Meyers Leonard,C,21,POR,4,0,9,0,2,0.0,0,0,,0,2,0.0,0.0,0,0,,0,2,2,0,0,0,0,1,0,leoname01,2013
124,Jon Leuer,PF,24,MEM,3,0,23,3,7,0.429,1,2,0.5,2,5,0.4,0.5,2,2,1.0,2,6,8,2,1,0,0,2,9,leuerjo01,2013
125,Rashard Lewis,SF,34,MIA,18,8,319,35,85,0.412,22,59,0.373,13,26,0.5,0.541,3,4,0.75,4,33,37,5,7,6,5,29,95,lewisra02,2013
126,Damian Lillard,PG,23,POR,11,11,466,83,189,0.439,27,70,0.386,56,119,0.471,0.511,59,66,0.894,12,44,56,72,11,1,30,29,252,lillada01,2013
127,Jeremy Lin,PG,25,HOU,6,0,177,25,61,0.41,5,23,0.217,20,38,0.526,0.451,13,16,0.813,7,15,22,26,3,1,13,15,68,linje01,2013
128,Shaun Livingston,PG,28,BRK,12,10,325,44,86,0.512,1,1,1.0,43,85,0.506,0.517,27,37,0.73,8,34,42,40,5,5,22,41,116,livinsh01,2013
129,Robin Lopez,C,25,POR,11,11,367,43,88,0.489,0,0,,43,88,0.489,0.489,24,36,0.667,47,54,101,9,6,20,11,40,110,lopezro01,2013
130,Kyle Lowry,PG,27,TOR,7,7,271,44,109,0.404,17,43,0.395,27,66,0.409,0.482,43,49,0.878,9,24,33,33,6,0,20,27,148,lowryky01,2013
131,Shelvin Mack,PG,23,ATL,7,0,118,19,47,0.404,10,27,0.37,9,20,0.45,0.511,9,12,0.75,3,10,13,25,4,0,6,10,57,macksh01,2013
132,Ian Mahinmi,C,27,IND,19,0,241,13,27,0.481,0,0,,13,27,0.481,0.481,11,18,0.611,22,23,45,3,5,16,10,38,37,mahinia01,2013
133,Shawn Marion,SF,35,DAL,7,7,193,24,59,0.407,4,18,0.222,20,41,0.488,0.441,7,11,0.636,14,23,37,13,6,1,5,11,59,mariosh01,2013
134,Cartier Martin,SF,29,ATL,3,0,15,2,3,0.667,0,0,,2,3,0.667,0.667,0,0,,1,2,3,0,2,0,1,2,4,martica01,2013
135,Wesley Matthews,SG,27,POR,11,11,426,56,136,0.412,22,68,0.324,34,68,0.5,0.493,26,32,0.813,7,36,43,14,14,5,22,45,160,matthwe02,2013
136,CJ McCollum,SG,22,POR,6,0,24,1,11,0.091,0,5,0.0,1,6,0.167,0.091,2,2,1.0,0,1,1,0,0,0,1,2,4,mccolcj01,2013
137,Josh McRoberts,PF,26,CHA,4,4,154,15,33,0.455,8,17,0.471,7,16,0.438,0.576,8,10,0.8,1,26,27,15,4,1,6,13,46,mcrobjo01,2013
138,Andre Miller,SG,37,WAS,11,0,108,19,41,0.463,1,3,0.333,18,38,0.474,0.476,5,9,0.556,2,9,11,9,3,0,8,12,44,millean02,2013
139,Mike Miller,SF,33,MEM,7,1,173,15,42,0.357,14,29,0.483,1,13,0.077,0.524,7,9,0.778,2,24,26,9,6,0,5,16,51,millemi01,2013
140,Patty Mills,PG,25,SAS,23,0,351,63,141,0.447,32,79,0.405,31,62,0.5,0.56,10,13,0.769,3,32,35,33,17,1,14,31,168,millspa02,2013
141,Paul Millsap,PF,28,ATL,7,7,267,41,103,0.398,9,27,0.333,32,76,0.421,0.442,45,56,0.804,21,55,76,20,10,13,20,25,136,millspa01,2013
142,Nazr Mohammed,C,36,CHI,2,0,5,0,1,0.0,0,0,,0,1,0.0,0.0,0,0,,1,1,2,0,0,0,0,3,0,mohamna01,2013
143,Mike Muscala,PF,22,ATL,2,0,5,0,2,0.0,0,0,,0,2,0.0,0.0,0,0,,0,0,0,0,0,0,0,0,0,muscami01,2013
144,Gary Neal,SG,29,CHA,4,0,104,18,51,0.353,4,18,0.222,14,33,0.424,0.392,5,7,0.714,3,5,8,4,0,0,8,9,45,nealga01,2013
145,Nemanja Nedovi?,SG,22,GSW,1,0,0,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,1,0,nedovne01,2013
146,Joakim Noah,C,28,CHI,5,5,210,21,41,0.512,0,0,,21,41,0.512,0.512,10,17,0.588,15,49,64,23,5,7,19,19,52,noahjo01,2013
147,Steve Novak,PF,30,TOR,4,0,15,0,3,0.0,0,3,0.0,0,0,,0.0,0,0,,0,5,5,1,0,0,0,0,0,novakst01,2013
148,Dirk Nowitzki,PF,35,DAL,7,7,263,54,126,0.429,1,12,0.083,53,114,0.465,0.433,25,31,0.806,5,51,56,11,6,6,15,20,134,nowitdi01,2013
149,Jermaine O'Neal,PF,35,GSW,7,3,84,18,32,0.563,0,0,,18,32,0.563,0.563,6,8,0.75,12,12,24,1,1,3,4,12,42,onealje01,2013
150,Greg Oden,C,26,MIA,3,0,7,0,0,,0,0,,0,0,,,0,0,,0,1,1,1,1,0,0,2,0,odengr01,2013
151,Jannero Pargo,PG,34,CHA,1,0,3,0,0,,0,0,,0,0,,,0,0,,0,1,1,1,0,0,1,0,0,pargoja01,2013
152,Tony Parker,PG,31,SAS,23,23,719,168,346,0.486,13,35,0.371,155,311,0.498,0.504,51,70,0.729,5,40,45,111,15,2,62,37,400,parketo01,2013
153,Chandler Parsons,SF,25,HOU,6,6,250,46,105,0.438,13,36,0.361,33,69,0.478,0.5,11,15,0.733,6,35,41,14,4,2,5,19,116,parsoch01,2013
154,Patrick Patterson,PF,24,TOR,7,0,199,26,48,0.542,7,18,0.389,19,30,0.633,0.615,14,18,0.778,12,35,47,9,3,3,6,13,73,pattepa01,2013
155,Chris Paul,PG,28,LAC,13,13,472,92,197,0.467,32,70,0.457,60,127,0.472,0.548,41,53,0.774,12,43,55,134,37,0,39,50,257,paulch01,2013
156,Kendrick Perkins,C,29,OKC,19,19,384,24,45,0.533,0,0,,24,45,0.533,0.533,12,15,0.8,33,69,102,14,4,6,25,64,60,perkike01,2013
157,Paul Pierce*,SF,36,BRK,12,12,368,60,129,0.465,19,53,0.358,41,76,0.539,0.539,25,32,0.781,4,50,54,24,14,4,20,44,164,piercpa01,2013
158,Mason Plumlee,C,23,BRK,10,0,114,7,16,0.438,0,0,,7,16,0.438,0.438,8,18,0.444,5,18,23,2,3,7,9,24,22,plumlma01,2013
159,Otto Porter Jr.,SF,20,WAS,3,0,6,1,3,0.333,0,1,0.0,1,2,0.5,0.333,0,0,,0,0,0,0,0,0,0,0,2,porteot01,2013
160,Tayshaun Prince,SF,33,MEM,7,6,113,10,26,0.385,1,4,0.25,9,22,0.409,0.404,0,0,,4,6,10,6,1,0,1,8,21,princta01,2013
161,Zach Randolph,PF,32,MEM,6,6,234,42,104,0.404,0,1,0.0,42,103,0.408,0.404,25,41,0.61,17,35,52,14,5,1,10,13,109,randoza01,2013
162,J.J. Redick,SG,29,LAC,13,13,351,61,133,0.459,26,65,0.4,35,68,0.515,0.556,25,26,0.962,4,18,22,19,11,0,13,23,173,redicjj01,2013
163,Luke Ridnour,PG,32,CHA,4,0,36,4,13,0.308,2,6,0.333,2,7,0.286,0.385,0,0,,0,4,4,12,0,1,4,1,10,ridnolu01,2013
164,Andre Roberson,SG,22,OKC,2,0,9,0,3,0.0,0,0,,0,3,0.0,0.0,0,0,,0,2,2,0,0,0,0,0,0,roberan03,2013
165,Thomas Robinson,PF,22,POR,11,0,122,13,31,0.419,0,0,,13,31,0.419,0.419,6,7,0.857,10,18,28,6,5,5,5,23,32,robinth01,2013
166,Terrence Ross,SG,22,TOR,7,7,158,14,47,0.298,4,24,0.167,10,23,0.435,0.34,3,5,0.6,1,13,14,2,6,3,8,19,35,rosste01,2013
167,John Salmons,SG,34,TOR,6,0,77,5,17,0.294,2,12,0.167,3,5,0.6,0.353,1,1,1.0,0,6,6,5,2,0,1,9,13,salmojo01,2013
168,Dennis Schröder,PG,20,ATL,2,0,7,2,2,1.0,1,1,1.0,1,1,1.0,1.25,0,0,,0,2,2,0,0,0,0,1,5,schrode01,2013
169,Luis Scola,PF,33,IND,18,0,243,48,105,0.457,1,3,0.333,47,102,0.461,0.462,13,22,0.591,11,31,42,9,6,3,7,29,110,scolalu01,2013
170,Mike Scott,PF,25,ATL,7,0,146,23,63,0.365,10,31,0.323,13,32,0.406,0.444,10,14,0.714,3,15,18,3,1,0,2,11,66,scottmi01,2013
171,Thabo Sefolosha,SG,29,OKC,15,13,236,23,55,0.418,6,23,0.261,17,32,0.531,0.473,4,5,0.8,7,24,31,10,10,0,7,10,56,sefolth01,2013
172,Kevin Séraphin,C,24,WAS,4,0,6,0,3,0.0,0,0,,0,3,0.0,0.0,0,0,,1,1,2,0,0,0,1,1,0,serapke01,2013
