Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player-additional,Year
20,Khem Birch,C,29,TOR,6,4,63,8,16,0.5,2,4,0.5,6,12,0.5,0.563,0,0,,4,5,9,3,1,1,3,13,18,birchkh01,2021
21,Bismack Biyombo,C,29,PHO,9,0,86,11,17,0.647,0,0,,11,17,0.647,0.647,3,6,0.5,8,11,19,5,1,2,6,13,25,biyombi01,2021
22,Nemanja Bjelica,C,33,GSW,15,0,150,18,34,0.529,3,8,0.375,15,26,0.577,0.574,4,7,0.571,6,25,31,17,4,2,7,21,43,bjeline01,2021
23,Bogdan Bogdanovi?,SG,29,ATL,4,0,107,20,49,0.408,9,26,0.346,11,23,0.478,0.5,8,10,0.8,4,15,19,12,1,1,4,12,57,bogdabo01,2021
24,Bojan Bogdanovi?,PF,32,UTA,6,6,214,39,81,0.481,11,33,0.333,28,48,0.583,0.549,19,24,0.792,3,22,25,10,2,0,12,24,108,bogdabo02,2021
25,Isaac Bonga,SF,22,TOR,1,0,3,0,0,,0,0,,0,0,,,2,2,1.0,0,1,1,0,0,0,0,1,2,bongais01,2021
26,Devin Booker,SG,25,PHO,10,10,366,79,175,0.451,28,65,0.431,51,110,0.464,0.531,47,53,0.887,10,38,48,44,5,4,32,25,233,bookede01,2021
27,Chris Boucher,SF,29,TOR,6,0,130,26,42,0.619,6,15,0.4,20,27,0.741,0.69,9,10,0.9,12,23,35,1,1,7,2,13,67,bouchch01,2021
28,Tony Bradley,C,24,CHI,2,0,8,5,5,1.0,0,0,,5,5,1.0,1.0,0,0,,0,4,4,1,0,0,0,0,10,bradlto01,2021
29,Mikal Bridges,SF,25,PHO,13,13,500,66,138,0.478,13,33,0.394,53,105,0.505,0.525,28,30,0.933,12,49,61,37,14,13,11,31,173,bridgmi01,2021
30,Armoni Brooks,PG,23,TOR,4,0,8,0,4,0.0,0,4,0.0,0,0,,0.0,0,0,,0,2,2,0,0,0,0,0,0,brookar01,2021
31,Dillon Brooks,SF,26,MEM,11,11,335,60,172,0.349,25,72,0.347,35,100,0.35,0.422,16,25,0.64,8,22,30,30,11,3,22,36,161,brookdi01,2021
32,Bruce Brown,SF,25,BRK,4,4,139,21,37,0.568,6,14,0.429,15,23,0.652,0.649,8,10,0.8,6,13,19,11,5,3,9,16,56,brownbr01,2021
33,Jaylen Brown,SF,25,BOS,24,24,920,197,419,0.47,60,161,0.373,137,258,0.531,0.542,100,131,0.763,33,133,166,85,27,10,74,71,554,brownja02,2021
34,Sterling Brown,SG,26,DAL,9,0,26,3,10,0.3,0,4,0.0,3,6,0.5,0.3,5,7,0.714,1,7,8,3,4,2,3,0,11,brownst02,2021
35,Troy Brown Jr.,SF,22,CHI,3,0,37,5,17,0.294,2,11,0.182,3,6,0.5,0.353,0,0,,1,7,8,3,2,0,3,2,12,browntr01,2021
36,Jalen Brunson,SG,25,DAL,18,18,629,145,311,0.466,26,75,0.347,119,236,0.504,0.508,72,90,0.8,15,68,83,66,14,1,19,38,388,brunsja01,2021
37,Reggie Bullock,SF,30,DAL,18,18,707,61,151,0.404,52,131,0.397,9,20,0.45,0.576,16,18,0.889,8,74,82,30,22,1,8,48,190,bullore01,2021
38,Trey Burke,PG,29,DAL,10,0,37,11,22,0.5,4,10,0.4,7,12,0.583,0.591,6,6,1.0,0,3,3,4,1,0,1,3,32,burketr01,2021
39,Jared Butler,SG,21,UTA,1,0,5,0,2,0.0,0,0,,0,2,0.0,0.0,0,0,,0,1,1,0,0,0,0,0,0,butleja02,2021
40,Jimmy Butler,SF,32,MIA,17,17,629,166,328,0.506,23,68,0.338,143,260,0.55,0.541,111,132,0.841,41,84,125,78,35,11,25,25,466,butleji01,2021
41,Facundo Campazzo,PG,30,DEN,4,0,13,0,2,0.0,0,2,0.0,0,0,,0.0,0,0,,0,3,3,2,0,0,2,3,0,campafa01,2021
42,Vlatko ?an?ar,PF,24,DEN,2,0,9,2,3,0.667,1,2,0.5,1,1,1.0,0.833,0,0,,0,2,2,1,0,0,2,0,5,cancavl01,2021
43,Clint Capela,C,27,ATL,2,2,40,2,6,0.333,0,0,,2,6,0.333,0.333,0,0,,4,11,15,0,1,1,1,2,4,capelca01,2021
44,Jevon Carter,PG,26,MIL,11,0,126,9,19,0.474,3,7,0.429,6,12,0.5,0.553,2,2,1.0,3,13,16,10,8,0,6,12,23,carteje01,2021
45,Alex Caruso,SG,27,CHI,4,4,113,9,23,0.391,7,18,0.389,2,5,0.4,0.543,0,0,,2,9,11,17,5,4,1,11,25,carusal01,2021
46,Marquese Chriss,PF,24,DAL,8,0,30,4,8,0.5,1,2,0.5,3,6,0.5,0.563,5,6,0.833,4,5,9,0,0,0,1,3,14,chrisma01,2021
47,Brandon Clarke,PF,25,MEM,12,0,296,56,91,0.615,0,1,0.0,56,90,0.622,0.615,36,54,0.667,37,46,83,24,9,10,12,23,148,clarkbr01,2021
48,Jordan Clarkson,SG,29,UTA,6,0,170,40,73,0.548,9,24,0.375,31,49,0.633,0.61,16,18,0.889,5,14,19,8,3,1,10,17,105,clarkjo01,2021
49,Nic Claxton,C,22,BRK,4,0,98,19,24,0.792,0,0,,19,24,0.792,0.792,4,22,0.182,7,18,25,6,5,9,2,6,42,claxtni01,2021
50,John Collins,PF,24,ATL,5,4,122,19,39,0.487,4,11,0.364,15,28,0.536,0.538,5,10,0.5,2,21,23,6,2,1,5,12,47,collijo01,2021
51,Mike Conley,PG,34,UTA,6,6,174,19,57,0.333,5,25,0.2,14,32,0.438,0.377,12,15,0.8,2,17,19,29,5,2,13,19,55,conlemi01,2021
52,Pat Connaughton,SF,29,MIL,12,0,318,42,88,0.477,25,64,0.391,17,24,0.708,0.619,5,5,1.0,3,48,51,11,5,4,7,14,114,connapa01,2021
53,DeMarcus Cousins,C,31,DEN,5,0,57,19,29,0.655,4,6,0.667,15,23,0.652,0.724,11,15,0.733,3,14,17,6,3,1,7,9,53,couside01,2021
54,Torrey Craig,SF,31,PHO,9,0,69,8,22,0.364,3,10,0.3,5,12,0.417,0.432,1,2,0.5,5,10,15,5,4,2,4,6,20,craigto01,2021
55,Jae Crowder,PF,31,PHO,13,13,383,42,105,0.4,19,63,0.302,23,42,0.548,0.49,19,26,0.731,8,53,61,31,13,7,19,47,122,crowdja01,2021
56,Jarrett Culver,SG,22,MEM,3,0,22,3,10,0.3,0,2,0.0,3,8,0.375,0.3,1,2,0.5,2,5,7,1,2,0,2,4,7,culveja01,2021
57,Seth Curry,SG,31,BRK,4,4,132,22,39,0.564,12,23,0.522,10,16,0.625,0.718,2,3,0.667,2,8,10,12,1,3,3,15,58,curryse01,2021
58,Stephen Curry,PG,33,GSW,22,18,764,202,440,0.459,91,229,0.397,111,211,0.526,0.563,107,129,0.829,11,104,115,129,29,8,57,59,602,curryst01,2021
59,Dewayne Dedmon,C,32,MIA,14,0,138,21,45,0.467,1,10,0.1,20,35,0.571,0.478,10,12,0.833,15,27,42,5,1,3,7,36,53,dedmode01,2021
60,DeMar DeRozan,PF,32,CHI,5,5,203,39,95,0.411,0,9,0.0,39,86,0.453,0.411,26,30,0.867,1,26,27,24,9,2,11,12,104,derozde01,2021
61,Gorgui Dieng,C,32,ATL,2,0,10,1,2,0.5,0,1,0.0,1,1,1.0,0.5,1,1,1.0,1,2,3,0,0,0,0,0,3,dienggo01,2021
62,Spencer Dinwiddie,PG,28,DAL,18,3,501,80,192,0.417,40,96,0.417,40,96,0.417,0.521,55,67,0.821,8,36,44,65,15,6,29,42,255,dinwisp01,2021
63,Luka Don?i?,PG,22,DAL,15,15,552,160,352,0.455,51,148,0.345,109,204,0.534,0.527,104,135,0.77,10,137,147,96,27,9,59,44,475,doncilu01,2021
64,Ayo Dosunmu,SG,22,CHI,5,1,86,8,26,0.308,3,13,0.231,5,13,0.385,0.365,1,1,1.0,4,9,13,11,1,0,3,5,20,dosunay01,2021
65,Goran Dragi?,PG,35,BRK,4,0,79,18,32,0.563,4,12,0.333,14,20,0.7,0.625,2,2,1.0,6,12,18,6,3,0,5,11,42,dragigo01,2021
66,Andre Drummond,C,28,BRK,4,4,60,6,11,0.545,0,0,,6,11,0.545,0.545,3,5,0.6,3,9,12,3,5,3,6,12,15,drumman01,2021
67,Kevin Durant,PF,33,BRK,4,4,176,32,83,0.386,7,21,0.333,25,62,0.403,0.428,34,38,0.895,2,21,23,25,4,1,21,15,105,duranke01,2021
68,Anthony Edwards,SG,20,MIN,6,6,227,50,110,0.455,23,57,0.404,27,53,0.509,0.559,28,34,0.824,4,21,25,18,7,7,15,22,151,edwaran01,2021
69,Kessler Edwards,SF,21,BRK,2,0,7,0,0,,0,0,,0,0,,,0,0,,0,0,0,1,1,0,1,3,0,edwarke02,2021
70,Joel Embiid,C,27,PHI,10,10,385,78,161,0.484,7,33,0.212,71,128,0.555,0.506,73,89,0.82,21,86,107,21,4,8,32,34,236,embiijo01,2021
71,Dorian Finney-Smith,PF,28,DAL,18,18,688,74,157,0.471,46,108,0.426,28,49,0.571,0.618,17,24,0.708,32,67,99,35,17,7,18,53,211,finnedo01,2021
72,Malik Fitts,PF,24,BOS,9,0,16,3,4,0.75,2,2,1.0,1,2,0.5,1.0,0,0,,0,2,2,0,0,0,0,0,8,fittsma01,2021
73,Malachi Flynn,PG,23,TOR,6,0,36,0,7,0.0,0,3,0.0,0,4,0.0,0.0,0,0,,2,1,3,3,1,0,1,6,0,flynnma01,2021
74,Bryn Forbes,SG,28,DEN,5,0,76,6,15,0.4,4,11,0.364,2,4,0.5,0.533,4,5,0.8,1,2,3,7,1,0,2,7,20,forbebr01,2021
75,Danilo Gallinari,PF,33,ATL,5,3,112,18,45,0.4,4,15,0.267,14,30,0.467,0.444,11,11,1.0,2,19,21,4,1,0,5,6,51,gallida01,2021
76,Rudy Gobert,C,29,UTA,6,6,197,21,33,0.636,0,0,,21,33,0.636,0.636,30,44,0.682,21,58,79,3,1,6,8,19,72,goberru01,2021
77,Aaron Gordon,PF,26,DEN,5,5,160,23,54,0.426,3,15,0.2,20,39,0.513,0.454,20,28,0.714,18,18,36,13,2,6,8,14,69,gordoaa01,2021
78,Devonte' Graham,PG,26,NOP,6,0,60,6,18,0.333,5,14,0.357,1,4,0.25,0.472,7,8,0.875,2,7,9,4,1,1,4,3,24,grahade01,2021
79,Danny Green,SF,34,PHI,12,12,319,36,89,0.404,31,76,0.408,5,13,0.385,0.579,0,1,0.0,9,28,37,10,12,4,13,23,103,greenda02,2021
80,Draymond Green,PF,31,GSW,22,22,703,69,144,0.479,8,39,0.205,61,105,0.581,0.507,30,47,0.638,26,133,159,138,25,22,59,87,176,greendr01,2021
81,JaMychal Green,PF,31,DEN,5,0,69,6,16,0.375,1,5,0.2,5,11,0.455,0.406,7,7,1.0,3,9,12,2,0,1,2,12,20,greenja01,2021
82,Javonte Green,SF,28,CHI,5,1,72,3,17,0.176,0,6,0.0,3,11,0.273,0.176,1,2,0.5,8,7,15,2,9,0,4,8,7,greenja02,2021
83,Jeff Green,PF,35,DEN,5,5,113,6,17,0.353,3,8,0.375,3,9,0.333,0.441,4,5,0.8,7,11,18,2,3,2,2,6,19,greenje02,2021
84,Josh Green,SG,21,DAL,16,0,121,8,28,0.286,5,22,0.227,3,6,0.5,0.375,2,8,0.25,1,11,12,7,5,0,0,16,23,greenjo02,2021
85,Blake Griffin,C,32,BRK,2,0,25,2,7,0.286,2,5,0.4,0,2,0.0,0.429,2,2,1.0,2,2,4,4,1,1,1,3,8,griffbl01,2021
86,James Harden,PG,32,PHI,12,12,479,64,158,0.405,28,76,0.368,36,82,0.439,0.494,67,75,0.893,11,57,68,103,9,8,50,29,223,hardeja01,2021
87,Tobias Harris,PF,29,PHI,12,12,466,81,162,0.5,22,57,0.386,59,105,0.562,0.568,19,22,0.864,10,81,91,35,13,10,18,35,203,harrito02,2021
88,Sam Hauser,SF,24,BOS,7,0,15,1,4,0.25,1,3,0.333,0,1,0.0,0.375,2,2,1.0,0,1,1,2,0,0,0,0,5,hausesa01,2021
89,Jaxson Hayes,C,21,NOP,6,6,83,14,25,0.56,0,3,0.0,14,22,0.636,0.56,7,11,0.636,4,11,15,1,0,2,4,11,35,hayesja02,2021
90,Juancho Hernangómez,PF,26,UTA,6,0,56,5,18,0.278,4,12,0.333,1,6,0.167,0.389,0,0,,2,10,12,5,2,0,2,4,14,hernaju01,2021
91,Willy Hernangómez,C,27,NOP,1,0,2,1,4,0.25,0,1,0.0,1,3,0.333,0.25,0,0,,2,0,2,0,0,0,0,1,2,hernawi01,2021
92,Tyler Herro,SG,22,MIA,15,0,381,74,181,0.409,16,70,0.229,58,111,0.523,0.453,25,27,0.926,7,51,58,42,9,6,27,21,189,herroty01,2021
93,Haywood Highsmith,SF,25,MIA,8,0,31,3,7,0.429,3,5,0.6,0,2,0.0,0.643,0,0,,2,3,5,3,0,0,3,2,9,highsha01,2021
94,George Hill,PG,35,MIL,5,0,76,1,5,0.2,1,2,0.5,0,3,0.0,0.3,2,2,1.0,1,5,6,3,0,0,1,10,5,hillge01,2021
95,Aaron Holiday,PG,25,PHO,6,0,20,8,14,0.571,5,7,0.714,3,7,0.429,0.75,0,1,0.0,3,0,3,9,3,1,0,1,21,holidaa01,2021
96,Jrue Holiday,PG,31,MIL,12,12,463,89,235,0.379,25,79,0.316,64,156,0.41,0.432,26,31,0.839,12,55,67,78,21,7,34,28,229,holidjr01,2021
97,Al Horford,C,35,BOS,23,23,815,101,193,0.523,47,98,0.48,54,95,0.568,0.645,28,36,0.778,35,179,214,76,19,31,29,64,277,horfoal01,2021
98,Danuel House Jr.,SF,28,UTA,6,0,112,9,22,0.409,2,10,0.2,7,12,0.583,0.455,6,8,0.75,2,15,17,4,0,1,6,7,26,houseda01,2021
99,Kevin Huerter,SF,23,ATL,5,5,154,17,47,0.362,9,31,0.29,8,16,0.5,0.457,3,4,0.75,1,14,15,19,6,3,11,15,46,huertke01,2021
100,De'Andre Hunter,SF,24,ATL,5,5,175,39,70,0.557,12,26,0.462,27,44,0.614,0.643,16,20,0.8,2,17,19,3,4,1,11,20,106,huntede01,2021
101,Bones Hyland,SG,21,DEN,5,0,87,13,36,0.361,8,23,0.348,5,13,0.385,0.472,12,14,0.857,1,9,10,16,1,0,6,12,46,hylanbo01,2021
102,Serge Ibaka,C,32,MIL,6,0,22,4,16,0.25,0,3,0.0,4,13,0.308,0.25,1,2,0.5,2,8,10,0,0,0,2,1,9,ibakase01,2021
103,Andre Iguodala,SF,38,GSW,7,0,61,4,9,0.444,1,3,0.333,3,6,0.5,0.5,2,3,0.667,3,4,7,12,0,2,4,11,11,iguodan01,2021
104,Brandon Ingram,SF,24,NOP,6,6,236,56,118,0.475,11,27,0.407,45,91,0.495,0.521,39,47,0.83,4,33,37,37,4,2,23,11,162,ingrabr01,2021
105,Kyrie Irving,PG,29,BRK,4,4,170,28,63,0.444,8,21,0.381,20,42,0.476,0.508,21,21,1.0,6,15,21,21,7,5,9,13,85,irvinky01,2021
106,Jaren Jackson Jr.,PF,22,MEM,12,12,332,59,156,0.378,27,72,0.375,32,84,0.381,0.465,40,53,0.755,26,55,81,11,9,30,17,53,185,jacksja02,2021
107,Isaiah Joe,SG,22,PHI,7,0,15,2,5,0.4,1,3,0.333,1,2,0.5,0.5,0,0,,0,2,2,0,0,0,3,1,5,joeis01,2021
108,Cameron Johnson,PF,25,PHO,13,3,320,46,99,0.465,22,59,0.373,24,40,0.6,0.576,26,32,0.813,9,37,46,20,5,1,12,31,140,johnsca02,2021
109,Jalen Johnson,PF,20,ATL,2,0,9,0,3,0.0,0,1,0.0,0,2,0.0,0.0,0,0,,0,0,0,0,0,0,1,0,0,johnsja05,2021
110,Nikola Joki?,C,26,DEN,5,5,171,61,106,0.575,5,18,0.278,56,88,0.636,0.599,28,33,0.848,17,49,66,29,8,5,24,20,155,jokicni01,2021
111,Derrick Jones Jr.,PF,24,CHI,5,0,59,7,17,0.412,3,11,0.273,4,6,0.667,0.5,2,3,0.667,3,4,7,2,1,0,3,8,19,jonesde02,2021
112,Herbert Jones,PF,23,NOP,6,6,226,21,44,0.477,5,12,0.417,16,32,0.5,0.534,17,22,0.773,8,12,20,11,11,5,8,22,64,joneshe01,2021
113,Tyus Jones,PG,25,MEM,12,3,262,39,99,0.394,18,45,0.4,21,54,0.389,0.485,14,15,0.933,4,35,39,54,14,2,13,8,110,jonesty01,2021
114,DeAndre Jordan,C,33,PHI,3,2,31,5,5,1.0,0,0,,5,5,1.0,1.0,0,0,,1,6,7,1,0,2,2,4,10,jordade01,2021
115,Maxi Kleber,PF,30,DAL,18,0,457,54,106,0.509,34,78,0.436,20,28,0.714,0.67,15,21,0.714,15,67,82,20,4,15,11,49,157,klebima01,2021
116,Kevin Knox,SF,22,ATL,2,0,9,7,11,0.636,6,10,0.6,1,1,1.0,0.909,2,2,1.0,0,2,2,0,2,0,3,0,22,knoxke01,2021
117,John Konchar,SG,25,MEM,8,0,56,3,11,0.273,1,6,0.167,2,5,0.4,0.318,2,2,1.0,3,16,19,5,3,1,1,7,9,konchjo01,2021
118,Furkan Korkmaz,SG,24,PHI,9,0,61,11,23,0.478,4,10,0.4,7,13,0.538,0.565,2,2,1.0,1,11,12,4,1,1,2,7,28,korkmfu01,2021
119,Luke Kornet,C,26,BOS,9,0,19,3,4,0.75,1,1,1.0,2,3,0.667,0.875,0,0,,1,4,5,1,0,0,1,1,7,kornelu01,2021
120,Jonathan Kuminga,SF,19,GSW,16,3,138,30,60,0.5,3,13,0.231,27,47,0.574,0.525,20,26,0.769,4,23,27,8,3,2,11,11,83,kuminjo01,2021
121,Zach LaVine,SG,26,CHI,4,4,153,27,63,0.429,9,24,0.375,18,39,0.462,0.5,14,15,0.933,0,21,21,24,3,1,12,9,77,lavinza01,2021
122,Damion Lee,SG,29,GSW,16,0,124,13,34,0.382,4,16,0.25,9,18,0.5,0.441,2,3,0.667,5,21,26,7,1,0,6,8,32,leeda03,2021
123,Kevon Looney,C,25,GSW,22,13,448,58,88,0.659,0,0,,58,88,0.659,0.659,11,18,0.611,63,105,168,48,9,10,19,50,127,looneke01,2021
124,Brook Lopez,C,33,MIL,12,12,332,50,102,0.49,6,28,0.214,44,74,0.595,0.52,21,23,0.913,27,44,71,8,6,18,11,33,127,lopezbr01,2021
125,Kyle Lowry,PG,35,MIA,10,10,295,25,86,0.291,13,54,0.241,12,32,0.375,0.366,15,19,0.789,3,33,36,47,12,7,19,29,78,lowryky01,2021
126,Timothé Luwawu-Cabarrot,SF,26,ATL,4,0,22,2,4,0.5,1,3,0.333,1,1,1.0,0.625,0,0,,0,3,3,2,0,0,1,6,5,luwawti01,2021
127,Boban Marjanovi?,C,33,DAL,3,0,6,1,4,0.25,0,0,,1,4,0.25,0.25,2,2,1.0,0,3,3,0,1,0,2,0,4,marjabo01,2021
128,Naji Marshall,SF,24,NOP,6,0,56,7,10,0.7,0,0,,7,10,0.7,0.7,4,4,1.0,3,3,6,5,1,1,3,5,18,marshna01,2021
129,Caleb Martin,SF,26,MIA,17,0,209,32,80,0.4,10,33,0.303,22,47,0.468,0.463,2,6,0.333,12,25,37,5,10,2,10,17,76,martica02,2021
130,Wesley Matthews,SG,35,MIL,12,12,345,25,64,0.391,18,45,0.4,7,19,0.368,0.531,6,9,0.667,9,28,37,14,9,3,6,27,74,matthwe02,2021
131,Tyrese Maxey,PG,21,PHI,12,12,485,88,182,0.484,26,69,0.377,62,113,0.549,0.555,47,50,0.94,6,36,42,47,9,2,21,24,249,maxeyty01,2021
132,Skylar Mays,SG,24,ATL,2,0,9,1,1,1.0,0,0,,1,1,1.0,1.0,0,0,,0,1,1,1,1,0,0,1,2,mayssk01,2021
133,CJ McCollum,SG,30,NOP,6,6,234,49,125,0.392,17,51,0.333,32,74,0.432,0.46,18,26,0.692,11,29,40,29,4,5,15,15,133,mccolcj01,2021
134,Jaden McDaniels,PF,21,MIN,6,0,130,18,34,0.529,10,20,0.5,8,14,0.571,0.676,10,12,0.833,5,12,17,4,2,11,6,18,56,mcdanja02,2021
135,JaVale McGee,C,34,PHO,12,0,133,35,50,0.7,0,1,0.0,35,49,0.714,0.7,11,13,0.846,16,32,48,7,3,5,9,27,81,mcgeeja01,2021
136,Jordan McLaughlin,PG,25,MIN,5,0,83,12,17,0.706,4,7,0.571,8,10,0.8,0.824,3,4,0.75,0,12,12,17,5,0,2,5,31,mclaujo01,2021
137,De'Anthony Melton,SG,23,MEM,10,0,170,21,65,0.323,11,44,0.25,10,21,0.476,0.408,3,4,0.75,9,22,31,16,10,5,14,9,56,meltode01,2021
138,Khris Middleton,SF,30,MIL,2,2,72,10,24,0.417,6,14,0.429,4,10,0.4,0.542,3,3,1.0,1,9,10,14,3,0,11,6,29,middlkh01,2021
139,Patty Mills,SG,33,BRK,4,0,72,9,16,0.563,7,13,0.538,2,3,0.667,0.781,0,0,,0,4,4,0,0,1,1,5,25,millspa02,2021
140,Paul Millsap,C,36,PHI,1,0,6,0,0,,0,0,,0,0,,,0,0,,0,1,1,1,0,0,0,1,0,millspa01,2021
141,Shake Milton,SG,25,PHI,12,0,158,18,38,0.474,8,15,0.533,10,23,0.435,0.579,16,20,0.8,4,15,19,11,6,3,5,13,60,miltosh01,2021
142,Donovan Mitchell,SG,25,UTA,6,6,229,53,133,0.398,10,48,0.208,43,85,0.506,0.436,37,42,0.881,6,20,26,34,4,3,16,14,153,mitchdo01,2021
143,Greg Monroe,C,31,MIN,2,0,7,2,5,0.4,0,0,,2,5,0.4,0.4,0,0,,1,1,2,1,2,0,1,1,4,monrogr01,2021
144,Moses Moody,SG,19,GSW,13,0,105,15,28,0.536,7,13,0.538,8,15,0.533,0.661,4,6,0.667,2,6,8,4,3,3,3,4,41,moodymo01,2021
145,Ja Morant,PG,22,MEM,9,9,338,81,184,0.44,17,50,0.34,64,134,0.478,0.486,65,87,0.747,13,59,72,88,18,4,32,22,244,moranja01,2021
146,Juwan Morgan,PF,24,BOS,9,0,15,0,1,0.0,0,1,0.0,0,0,,0.0,1,2,0.5,2,1,3,0,0,0,0,1,1,morgaju01,2021
147,Markieff Morris,PF,32,MIA,1,0,3,0,1,0.0,0,0,,0,1,0.0,0.0,0,0,,0,1,1,0,0,0,1,2,0,morrima02,2021
148,Monte Morris,PG,26,DEN,5,5,156,25,51,0.49,11,26,0.423,14,25,0.56,0.598,9,12,0.75,1,10,11,27,6,0,8,14,70,morrimo01,2021
149,Trey Murphy III,SF,21,NOP,6,0,120,9,22,0.409,9,19,0.474,0,3,0.0,0.614,4,5,0.8,3,12,15,3,3,1,1,9,31,murphtr02,2021
150,Svi Mykhailiuk,SF,24,TOR,3,0,5,0,2,0.0,0,2,0.0,0,0,,0.0,1,1,1.0,0,1,1,0,0,0,0,1,1,mykhasv01,2021
151,Larry Nance Jr.,PF,29,NOP,6,0,130,22,39,0.564,2,9,0.222,20,30,0.667,0.59,9,11,0.818,19,16,35,11,3,2,6,15,55,nancela02,2021
152,Aaron Nesmith,SF,22,BOS,15,0,52,4,17,0.235,1,11,0.091,3,6,0.5,0.265,3,4,0.75,4,11,15,3,2,4,1,6,12,nesmiaa01,2021
153,Georges Niang,PF,28,PHI,12,0,198,20,48,0.417,16,43,0.372,4,5,0.8,0.583,2,2,1.0,4,14,18,11,3,0,7,30,58,niangge01,2021
154,Zeke Nnaji,PF,21,DEN,2,0,9,1,1,1.0,1,1,1.0,0,0,,1.5,0,0,,0,0,0,0,0,0,0,2,3,nnajize01,2021
155,Jaylen Nowell,SG,22,MIN,1,0,12,3,10,0.3,0,5,0.0,3,5,0.6,0.3,0,0,,0,0,0,1,1,0,0,1,6,nowelja01,2021
156,Frank Ntilikina,SG,23,DAL,12,0,125,8,24,0.333,6,20,0.3,2,4,0.5,0.458,1,1,1.0,2,10,12,9,8,1,6,19,23,ntilila01,2021
157,Jordan Nwora,SF,23,MIL,8,0,20,2,9,0.222,0,4,0.0,2,5,0.4,0.222,0,2,0.0,0,3,3,2,0,0,0,0,4,nworajo01,2021
