Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player-additional
72,Francisco García,SF,31,HOU,6,3,164,22,50,0.44,17,37,0.459,5,13,0.385,0.61,3,5,0.6,3,17,20,9,4,5,4,21,64,garcifr01
73,Kevin Garnett*,C,36,BOS,6,6,212,30,60,0.5,0,2,0,30,58,0.517,0.5,16,17,0.941,9,73,82,21,5,6,19,23,76,garneke01
74,Marc Gasol,C,28,MEM,15,15,609,93,205,0.454,0,0,,93,205,0.454,0.454,72,90,0.8,25,102,127,48,13,33,18,53,258,gasolma01
75,Pau Gasol,PF,32,LAL,4,4,146,25,52,0.481,0,0,,25,52,0.481,0.481,6,11,0.545,7,39,46,26,2,3,13,4,56,gasolpa01
76,Paul George,SF,22,IND,19,19,780,119,277,0.43,34,104,0.327,85,173,0.491,0.491,93,128,0.727,16,125,141,96,25,9,75,72,365,georgpa01
77,Taj Gibson,PF,27,CHI,12,0,206,31,66,0.47,0,2,0,31,64,0.484,0.47,16,22,0.727,15,21,36,4,4,6,9,37,78,gibsota01
78,Manu Ginóbili*,SG,35,SAS,21,3,560,77,193,0.399,29,96,0.302,48,97,0.495,0.474,59,80,0.738,9,69,78,105,24,6,55,52,242,ginobma01
79,Andrew Goudelock,SG,24,LAL,3,2,80,16,36,0.444,2,10,0.2,14,26,0.538,0.472,2,2,1,1,4,5,3,5,0,4,7,36,goudean01
80,Danny Green,SG,25,SAS,21,21,669,83,186,0.446,55,114,0.482,28,72,0.389,0.594,12,15,0.8,18,69,87,32,22,23,19,51,233,greenda02
81,Draymond Green,SF,22,GSW,12,1,223,24,56,0.429,9,23,0.391,15,33,0.455,0.509,13,17,0.765,14,37,51,19,6,10,12,35,70,greendr01
82,Gerald Green,SF,27,IND,9,0,105,21,50,0.42,11,33,0.333,10,17,0.588,0.53,2,2,1,2,10,12,3,0,1,6,10,55,greenge01
83,Jeff Green,PF,26,BOS,6,6,258,37,85,0.435,10,22,0.455,27,63,0.429,0.494,38,45,0.844,6,26,32,14,2,4,19,22,122,greenje02
84,Willie Green,SG,31,LAC,3,0,20,2,3,0.667,0,1,0,2,2,1,0.667,2,2,1,0,3,3,2,1,0,0,0,6,greenwi01
85,Blake Griffin,PF,23,LAC,6,5,158,29,64,0.453,0,0,,29,64,0.453,0.453,21,26,0.808,8,25,33,15,0,5,13,24,79,griffbl01
86,Jordan Hamilton,SF,22,DEN,1,0,2,0,1,0,0,0,,0,1,0,0,0,0,,0,0,0,0,0,0,0,0,0,hamiljo02
87,Richard Hamilton,SG,34,CHI,4,0,68,10,27,0.37,3,7,0.429,7,20,0.35,0.426,3,4,0.75,0,3,3,5,1,2,5,5,26,hamilri01
88,Ben Hansbrough,PG,25,IND,6,0,22,0,5,0,0,3,0,0,2,0,0,0,0,,1,2,3,3,0,1,2,2,0,hansbbe01
89,Tyler Hansbrough,PF,27,IND,19,0,241,26,62,0.419,0,0,,26,62,0.419,0.419,26,44,0.591,36,25,61,5,6,0,15,41,78,hansbty01
90,James Harden,SG,23,HOU,6,6,243,45,115,0.391,15,44,0.341,30,71,0.423,0.457,53,66,0.803,5,35,40,27,12,6,27,18,158,hardeja01
91,Devin Harris,SG,29,ATL,6,6,225,23,63,0.365,5,25,0.2,18,38,0.474,0.405,17,25,0.68,2,15,17,22,10,1,12,18,68,harride01
92,Udonis Haslem,PF,32,MIA,22,19,357,51,86,0.593,0,0,,51,86,0.593,0.593,8,14,0.571,26,54,80,6,15,5,14,54,110,hasleud01
93,John Henson,PF,22,MIL,4,0,33,3,11,0.273,0,1,0,3,10,0.3,0.273,0,0,,0,8,8,1,2,0,2,5,6,hensojo01
94,Roy Hibbert,C,26,IND,19,19,694,120,235,0.511,0,0,,120,235,0.511,0.511,83,103,0.806,90,98,188,26,3,37,43,74,323,hibbero01
95,George Hill,PG,26,IND,18,18,685,83,207,0.401,34,95,0.358,49,112,0.438,0.483,63,76,0.829,5,62,67,77,22,4,40,41,263,hillge01
